Name,Date,Time,Weektime,Tradetime_Dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2020/4/30,15:00-9:00,星期四,0,236,61,28,147,43087,162
黄金吧,2020/4/30,9:00-15:00,星期四,1,121,34,7,80,27938,92
黄金吧,2020/5/1,15:00-9:00,星期五,0,245,50,34,161,50740,209
黄金吧,2020/5/1,9:00-15:00,星期五,1,90,9,23,58,27236,85
黄金吧,2020/5/1,15:00-24:00,星期五,0,203,48,19,136,50222,184
黄金吧,2020/5/2,0:00-24:00,星期六,0,49,13,2,34,19480,74
黄金吧,2020/5/3,0:00-24:00,星期日,0,34,7,2,25,14315,58
黄金吧,2020/5/4,0:00-9:00,星期一,0,29,4,2,23,13650,75
黄金吧,2020/5/4,9:00-15:00,星期一,1,125,35,10,80,40510,154
黄金吧,2020/5/5,15:00-9:00,星期二,0,219,46,33,140,56598,210
黄金吧,2020/5/5,9:00-15:00,星期二,1,109,17,7,85,37749,127
黄金吧,2020/5/6,15:00-9:00,星期三,0,251,64,38,149,70225,222
黄金吧,2020/5/6,9:00-15:00,星期三,1,131,40,15,76,33506,76
黄金吧,2020/5/7,15:00-9:00,星期四,0,377,97,57,223,82666,285
黄金吧,2020/5/7,9:00-15:00,星期四,1,92,14,10,68,24724,47
黄金吧,2020/5/8,15:00-9:00,星期五,0,379,106,53,220,82660,324
黄金吧,2020/5/8,9:00-15:00,星期五,1,117,28,16,73,31844,114
黄金吧,2020/5/8,15:00-24:00,星期五,0,361,86,69,206,69775,274
黄金吧,2020/5/9,0:00-24:00,星期六,0,72,15,11,46,28306,78
黄金吧,2020/5/10,0:00-24:00,星期日,0,39,18,2,19,14459,19
黄金吧,2020/5/11,0:00-9:00,星期一,0,33,12,4,17,12571,60
黄金吧,2020/5/11,9:00-15:00,星期一,1,141,31,18,92,31680,83
黄金吧,2020/5/12,15:00-9:00,星期二,0,309,59,61,189,57901,199
黄金吧,2020/5/12,9:00-15:00,星期二,1,117,30,13,74,28170,60
黄金吧,2020/5/13,15:00-9:00,星期三,0,281,69,41,171,57510,186
黄金吧,2020/5/13,9:00-15:00,星期三,1,124,37,13,74,28474,76
黄金吧,2020/5/14,15:00-9:00,星期四,0,431,105,81,245,82428,299
黄金吧,2020/5/14,9:00-15:00,星期四,1,132,37,10,85,31002,81
黄金吧,2020/5/15,15:00-9:00,星期五,0,558,182,59,317,102847,407
黄金吧,2020/5/15,9:00-15:00,星期五,1,153,45,18,90,33992,99
黄金吧,2020/5/15,15:00-24:00,星期五,0,305,95,45,165,54962,255
黄金吧,2020/5/16,0:00-24:00,星期六,0,75,30,8,37,27113,83
黄金吧,2020/5/17,0:00-24:00,星期日,0,48,21,9,18,21220,70
黄金吧,2020/5/18,0:00-9:00,星期一,0,88,34,16,38,26076,120
黄金吧,2020/5/18,9:00-15:00,星期一,1,185,57,23,105,48786,162
黄金吧,2020/5/19,15:00-9:00,星期二,0,615,130,116,369,117852,439
黄金吧,2020/5/19,9:00-15:00,星期二,1,149,46,12,91,32962,112
黄金吧,2020/5/20,15:00-9:00,星期三,0,328,82,39,207,79197,366
黄金吧,2020/5/20,9:00-15:00,星期三,1,126,36,9,81,32245,82
黄金吧,2020/5/21,15:00-9:00,星期四,0,280,77,40,163,67769,289
黄金吧,2020/5/21,9:00-15:00,星期四,1,150,24,23,103,40845,108
黄金吧,2020/5/22,15:00-9:00,星期五,0,315,74,63,178,91065,366
黄金吧,2020/5/22,9:00-15:00,星期五,1,106,25,13,68,35115,77
黄金吧,2020/5/22,15:00-24:00,星期五,0,215,52,31,132,78778,168
黄金吧,2020/5/23,0:00-24:00,星期六,0,67,17,14,36,73966,96
黄金吧,2020/5/24,0:00-24:00,星期日,0,52,14,2,36,35382,49
