观测序号_nobs,Date,Close_Price
76980,2020-09-29,403.8
76981,2020-09-30,402.97
76982,2020-10-09,404.49
76983,2020-10-12,408.79
76984,2020-10-13,406.63
76985,2020-10-14,402.85
76986,2020-10-15,402.3
76987,2020-10-16,404
76988,2020-10-19,404.4
76989,2020-10-20,401
76990,2020-10-21,404.1
76991,2020-10-22,404.01
76992,2020-10-23,402.74
76993,2020-10-26,400.9
76994,2020-10-27,404.02
76995,2020-10-28,404.6
76996,2020-10-29,399.47
76997,2020-10-30,397.21
76998,2020-11-02,399.9
76999,2020-11-03,401.56
77000,2020-11-04,402.66
77001,2020-11-05,402.37
77002,2020-11-06,406.94
77003,2020-11-09,406.2
77004,2020-11-10,396.69
77005,2020-11-11,396
77006,2020-11-12,394.39
77007,2020-11-13,395.93
77008,2020-11-16,396.01
77009,2020-11-17,395.8
77010,2020-11-18,393.72
77011,2020-11-19,391.5
77012,2020-11-20,392.1
77013,2020-11-23,391.65
77014,2020-11-24,383.36
77015,2020-11-25,378.45
77016,2020-11-26,378.85
77017,2020-11-27,377.5
77018,2020-11-30,370.58
77019,2020-12-01,372.99
77020,2020-12-02,378.43
77021,2020-12-03,382.98
77022,2020-12-04,383.38
77023,2020-12-07,382.52
77024,2020-12-08,386.76
77025,2020-12-09,384.75
77026,2020-12-10,381.46
77027,2020-12-11,381.46
77028,2020-12-14,380.46
77029,2020-12-15,383.8
77030,2020-12-16,385.44
77031,2020-12-17,388.7
77032,2020-12-18,390.34
77033,2020-12-21,395.96
77034,2020-12-22,390.32
77035,2020-12-23,390.12
77036,2020-12-24,390.4
77037,2020-12-25,392.21
77038,2020-12-28,391.61
77039,2020-12-29,390.66
77040,2020-12-30,390.39
77041,2020-12-31,390
77042,2021-01-04,398.09
77043,2021-01-05,401
77044,2021-01-06,400.73
77045,2021-01-07,398.49
77046,2021-01-08,395.97
77047,2021-01-11,385
77048,2021-01-12,387.99
77049,2021-01-13,386.5
77050,2021-01-14,383.7
77051,2021-01-15,385.41
77052,2021-01-18,384.6
77053,2021-01-19,384.97
77054,2021-01-20,386.76
77055,2021-01-21,389.46
77056,2021-01-22,388.09
77057,2021-01-25,386
77058,2021-01-26,387.45
77059,2021-01-27,385.39
77060,2021-01-28,382.23
77061,2021-01-29,384.5
77062,2021-02-01,388.47
77063,2021-02-02,384.83
77064,2021-02-03,382.36
77065,2021-02-04,379.5
77066,2021-02-05,376.23
77067,2021-02-08,378.59
77068,2021-02-09,382.74
77069,2021-02-10,383
77070,2021-02-18,372.06
77071,2021-02-19,370.67
77072,2021-02-22,374.5
77073,2021-02-23,377.99
77074,2021-02-24,377.28
77075,2021-02-25,373.04
77076,2021-02-26,368.26
77077,2021-03-01,367.37
77078,2021-03-02,360.42
77079,2021-03-03,362.08
77080,2021-03-04,359
77081,2021-03-05,355.7
