Scode,Coname,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
600766,园城黄金,2020-07-02,122,22,29,71,18829,105
600766,园城黄金,2020-07-03,99,23,15,61,16569,81
600766,园城黄金,2020-07-04,7,4,0,3,1571,4
600766,园城黄金,2020-07-05,10,3,3,4,1868,7
600766,园城黄金,2020-07-06,78,23,12,43,11100,45
600766,园城黄金,2020-07-07,114,19,27,68,15382,86
600766,园城黄金,2020-07-08,142,40,23,79,19709,103
600766,园城黄金,2020-07-09,125,29,21,75,22071,83
600766,园城黄金,2020-07-10,87,18,17,52,14316,57
600766,园城黄金,2020-07-11,11,3,2,6,3181,8
600766,园城黄金,2020-07-12,3,0,0,3,263,0
600766,园城黄金,2020-07-13,64,11,15,38,10483,27
600766,园城黄金,2020-07-14,69,17,11,41,11746,54
600766,园城黄金,2020-07-15,41,12,15,14,7164,38
600766,园城黄金,2020-07-16,31,5,2,24,5301,15
600766,园城黄金,2020-07-17,25,7,3,15,4767,41
600766,园城黄金,2020-07-18,3,2,0,1,1035,1
600766,园城黄金,2020-07-19,2,1,0,1,373,0
600766,园城黄金,2020-07-20,27,7,1,19,6814,39
600766,园城黄金,2020-07-21,52,19,6,27,10672,46
600766,园城黄金,2020-07-22,85,17,11,57,16403,58
600766,园城黄金,2020-07-23,53,12,13,28,10252,25
600766,园城黄金,2020-07-24,110,36,17,57,28931,136
600766,园城黄金,2020-07-25,42,9,5,28,14029,62
600766,园城黄金,2020-07-26,39,5,3,31,14284,45
600766,园城黄金,2020-07-27,233,61,50,122,52162,185
600766,园城黄金,2020-07-28,187,35,58,94,37501,69
600766,园城黄金,2020-07-29,122,41,24,57,26920,108
600766,园城黄金,2020-07-30,73,17,14,42,16255,96
600766,园城黄金,2020-07-31,99,31,11,57,18742,76
600766,园城黄金,2020-08-01,21,4,4,13,5373,16
600766,园城黄金,2020-08-02,16,3,3,10,4956,27
600766,园城黄金,2020-08-03,94,21,19,54,18612,90
600766,园城黄金,2020-08-04,80,20,10,50,17221,113
600766,园城黄金,2020-08-05,110,29,15,66,19188,68
600766,园城黄金,2020-08-06,157,42,30,85,25518,122
600766,园城黄金,2020-08-07,164,28,43,93,24212,82
600766,园城黄金,2020-08-08,7,2,1,4,1403,1
600766,园城黄金,2020-08-09,4,0,0,4,1107,6
600766,园城黄金,2020-08-10,99,17,19,63,18687,90
600766,园城黄金,2020-08-11,78,18,17,43,13245,71
600766,园城黄金,2020-08-12,90,12,23,55,17249,96
600766,园城黄金,2020-08-13,51,13,10,28,10969,65
600766,园城黄金,2020-08-14,23,8,5,10,5133,36
600766,园城黄金,2020-08-15,11,2,1,8,2550,12
600766,园城黄金,2020-08-16,5,1,2,2,1351,3
600766,园城黄金,2020-08-17,42,12,6,24,7975,26
600766,园城黄金,2020-08-18,61,14,10,37,14607,71
600766,园城黄金,2020-08-19,65,12,11,42,12499,44
600766,园城黄金,2020-08-20,71,20,14,37,15761,64
600766,园城黄金,2020-08-21,31,7,8,16,6625,25
600766,园城黄金,2020-08-22,8,5,0,3,2761,16
600766,园城黄金,2020-08-23,6,0,0,6,1407,11
600766,园城黄金,2020-08-24,25,7,4,14,5727,12
600766,园城黄金,2020-08-25,36,7,9,20,8283,59
600766,园城黄金,2020-08-26,30,11,1,18,8188,32
600766,园城黄金,2020-08-27,44,13,12,19,8100,25
600766,园城黄金,2020-08-28,37,10,3,24,6526,35
600766,园城黄金,2020-08-29,5,4,0,1,1067,3
600766,园城黄金,2020-08-30,4,0,1,3,881,3
600766,园城黄金,2020-08-31,22,4,6,12,4671,10
600766,园城黄金,2020-09-01,39,8,10,21,8205,33
600766,园城黄金,2020-09-02,40,8,7,25,8341,44
600766,园城黄金,2020-09-03,42,3,5,34,8261,44
600766,园城黄金,2020-09-04,39,5,7,27,8355,47
600766,园城黄金,2020-09-05,2,2,0,0,587,0
600766,园城黄金,2020-09-06,2,0,0,2,546,4
600766,园城黄金,2020-09-07,20,3,3,14,3900,8
600766,园城黄金,2020-09-08,25,8,5,12,5198,15
600766,园城黄金,2020-09-09,27,13,3,11,4545,16
600766,园城黄金,2020-09-10,40,10,8,22,4900,14
600766,园城黄金,2020-09-11,15,3,7,5,2215,4
600766,园城黄金,2020-09-12,3,1,0,2,963,0
600766,园城黄金,2020-09-13,3,0,3,0,602,1
600766,园城黄金,2020-09-14,16,3,5,8,4113,21
600766,园城黄金,2020-09-15,32,7,10,15,7285,18
600766,园城黄金,2020-09-16,20,6,3,11,5350,17
600766,园城黄金,2020-09-17,26,4,3,19,7524,49
600766,园城黄金,2020-09-18,13,5,2,6,3249,4
600766,园城黄金,2020-09-19,1,1,0,0,372,0
600766,园城黄金,2020-09-20,9,1,2,6,2632,10
600766,园城黄金,2020-09-21,22,2,3,17,5729,22
600766,园城黄金,2020-09-22,52,9,11,32,24980,102
600766,园城黄金,2020-09-23,64,22,7,35,59248,193
600766,园城黄金,2020-09-24,38,8,7,23,11982,33
600766,园城黄金,2020-09-25,15,3,2,10,4847,6
600766,园城黄金,2020-09-26,6,4,0,2,2235,10
600766,园城黄金,2020-09-27,4,1,0,3,1643,9
600766,园城黄金,2020-09-28,19,9,2,8,6739,22
600766,园城黄金,2020-09-29,10,2,0,8,2727,10
600766,园城黄金,2020-09-30,13,5,1,7,4639,8
600766,园城黄金,2020-10-01,2,1,0,1,525,0
600766,园城黄金,2020-10-02,1,1,0,0,199,0
600766,园城黄金,2020-10-03,2,1,0,1,659,2
600766,园城黄金,2020-10-04,2,1,0,1,942,0
600766,园城黄金,2020-10-05,5,2,0,3,2166,8
600766,园城黄金,2020-10-06,4,1,2,1,1455,1
600766,园城黄金,2020-10-07,4,1,0,3,2021,8
600766,园城黄金,2020-10-08,12,2,0,10,4839,18
600766,园城黄金,2020-10-09,26,2,4,20,8821,31
600766,园城黄金,2020-10-10,6,1,0,5,2038,1
600766,园城黄金,2020-10-11,4,0,1,3,1165,3
600766,园城黄金,2020-10-12,18,3,3,12,4852,12
600766,园城黄金,2020-10-13,23,5,2,16,8796,18
600766,园城黄金,2020-10-14,65,24,4,37,37540,112
600766,园城黄金,2020-10-15,123,35,24,64,47284,111
600766,园城黄金,2020-10-16,128,33,22,73,46787,154
600766,园城黄金,2020-10-17,20,4,2,14,7984,14
600766,园城黄金,2020-10-18,10,2,0,8,6761,34
600766,园城黄金,2020-10-19,102,34,16,52,32212,129
600766,园城黄金,2020-10-20,93,31,10,52,27920,69
600766,园城黄金,2020-10-21,85,23,14,48,20603,62
600766,园城黄金,2020-10-22,143,48,24,71,33457,91
600766,园城黄金,2020-10-23,132,37,17,78,26770,75
600766,园城黄金,2020-10-24,13,10,0,3,4658,26
600766,园城黄金,2020-10-25,23,8,1,14,7290,15
600766,园城黄金,2020-10-26,95,27,15,53,22085,61
600766,园城黄金,2020-10-27,59,27,10,22,15028,83
600766,园城黄金,2020-10-28,116,28,21,67,32107,112
600766,园城黄金,2020-10-29,76,29,7,40,19824,57
600766,园城黄金,2020-10-30,103,25,18,60,25772,96
600766,园城黄金,2020-10-31,12,3,1,8,4486,8
600766,园城黄金,2020-11-01,14,5,0,9,5274,15
600766,园城黄金,2020-11-02,54,25,4,25,11849,51
600766,园城黄金,2020-11-03,128,40,17,71,41383,139
600766,园城黄金,2020-11-04,217,50,47,120,71898,306
600766,园城黄金,2020-11-05,249,56,65,128,59021,149
600766,园城黄金,2020-11-06,72,21,9,42,16532,45
600766,园城黄金,2020-11-07,8,3,1,4,2771,6
600766,园城黄金,2020-11-08,13,0,1,12,3523,4
600766,园城黄金,2020-11-09,78,23,20,35,21426,71
600766,园城黄金,2020-11-10,53,14,13,26,12161,73
600766,园城黄金,2020-11-11,65,19,16,30,13530,41
600766,园城黄金,2020-11-12,57,10,18,29,12199,50
600766,园城黄金,2020-11-13,41,15,4,22,11105,54
600766,园城黄金,2020-11-14,5,2,0,3,1198,0
600766,园城黄金,2020-11-15,5,3,0,2,1447,6
600766,园城黄金,2020-11-16,23,8,1,14,7983,29
600766,园城黄金,2020-11-17,49,9,9,31,10595,55
600766,园城黄金,2020-11-18,41,12,10,19,8758,43
600766,园城黄金,2020-11-19,44,14,8,22,9570,64
600766,园城黄金,2020-11-20,42,10,13,19,7910,42
