Name,Date,Time,Weektime,Tradetime_Dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2022/7/22,9:00-15:00,星期五,1,1,0,0,1,85,6
黄金概念吧,2022/7/25,9:00-15:00,星期一,1,1,0,0,1,73,0
黄金吧,2022/8/3,15:00-9:00,星期三,0,1,0,0,1,41,1
黄金吧,2022/8/5,9:00-15:00,星期五,1,1,0,0,1,34,0
黄金吧,2022/8/6,0:00-24:00,星期六,0,1,0,0,1,52,0
黄金吧,2022/8/11,15:00-9:00,星期四,0,2,0,0,2,54,0
黄金吧,2022/8/14,0:00-24:00,星期日,0,1,0,0,1,81,0
黄金吧,2022/8/16,9:00-15:00,星期二,1,1,0,0,1,53,0
黄金吧,2022/8/17,15:00-9:00,星期三,0,1,0,0,1,27,0
黄金吧,2022/8/19,15:00-9:00,星期五,0,1,0,0,1,51,1
黄金吧,2022/8/19,15:00-24:00,星期五,0,1,0,0,1,33,0
黄金吧,2022/8/24,15:00-9:00,星期三,0,1,0,0,1,46,0
黄金吧,2022/8/29,9:00-15:00,星期一,1,1,0,0,1,207,0
黄金吧,2022/8/30,15:00-9:00,星期二,0,1,0,0,1,103,0
黄金概念吧,2022/9/2,9:00-15:00,星期五,1,1,0,0,1,236,0
黄金吧,2022/9/7,9:00-15:00,星期三,1,1,0,0,1,44,0
黄金吧,2022/9/9,9:00-15:00,星期五,1,2,0,0,2,628,0
黄金吧,2022/9/16,9:00-15:00,星期五,1,1,0,0,1,214,2
黄金吧,2022/9/16,15:00-24:00,星期五,0,1,0,0,1,148,0
黄金吧,2022/9/20,15:00-9:00,星期二,0,1,0,0,1,77,0
黄金吧,2022/9/20,9:00-15:00,星期二,1,1,0,0,1,330,0
黄金吧,2022/9/22,9:00-15:00,星期四,1,2,0,0,2,215,0
黄金概念吧,2022/9/29,9:00-15:00,星期四,1,1,0,0,1,286,0
黄金吧,2022/9/30,9:00-15:00,星期五,1,1,0,0,1,165,0
黄金吧,2022/10/6,9:00-15:00,星期四,1,1,0,0,1,269,0
黄金吧,2022/10/12,9:00-15:00,星期三,1,1,0,0,1,70,0
黄金吧,2022/10/13,9:00-15:00,星期四,1,1,0,0,1,55,0
黄金吧,2022/10/14,15:00-9:00,星期五,0,1,0,0,1,127,0
黄金吧,2022/10/18,9:00-15:00,星期二,1,1,0,0,1,299,0
黄金概念吧,2022/10/19,9:00-15:00,星期三,1,1,0,0,1,148,0
黄金概念吧,2022/10/20,15:00-9:00,星期四,0,1,0,0,1,199,0
黄金吧,2022/10/20,15:00-9:00,星期四,0,1,0,0,1,36,0
黄金吧,2022/10/20,9:00-15:00,星期四,1,1,0,0,1,90,0
黄金吧,2022/10/21,9:00-15:00,星期五,1,1,0,0,1,154,0
黄金吧,2022/10/28,15:00-24:00,星期五,0,1,0,0,1,207,0
黄金概念吧,2022/10/31,9:00-15:00,星期一,1,1,0,0,1,154,0
黄金吧,2022/11/2,9:00-15:00,星期三,1,1,0,0,1,98,0
黄金吧,2022/11/8,9:00-15:00,星期二,1,1,0,0,1,147,0
黄金吧,2022/11/9,9:00-15:00,星期三,1,1,0,0,1,123,0
黄金吧,2022/11/11,9:00-15:00,星期五,1,2,0,0,2,17512,200
黄金吧,2022/11/15,15:00-9:00,星期二,0,1,0,0,1,84,0
黄金概念吧,2022/11/16,9:00-15:00,星期三,1,1,0,0,1,152,0
黄金吧,2022/11/16,9:00-15:00,星期三,1,1,0,0,1,162,0
黄金概念吧,2022/11/22,15:00-9:00,星期二,0,1,0,0,1,111,0
黄金概念吧,2022/11/26,0:00-24:00,星期六,0,1,0,0,1,153,0
黄金概念吧,2022/11/29,9:00-15:00,星期二,1,1,0,0,1,67,0
黄金吧,2022/12/1,9:00-15:00,星期四,1,1,0,0,1,23,0
黄金概念吧,2022/12/2,9:00-15:00,星期五,1,1,0,0,1,55,0
黄金概念吧,2022/12/9,9:00-15:00,星期五,1,2,0,0,2,331,0
黄金概念吧,2022/12/12,9:00-15:00,星期一,1,1,0,0,1,141,0
黄金概念吧,2022/1/5,9:00-15:00,星期三,1,1,1,0,0,315,0
黄金概念吧,2022/1/21,9:00-15:00,星期五,1,1,1,0,0,305,0
黄金概念吧,2022/2/7,9:00-15:00,星期一,1,1,1,0,0,353,0
黄金概念吧,2022/2/8,9:00-15:00,星期二,1,1,1,0,0,350,0
黄金概念吧,2022/2/10,9:00-15:00,星期四,1,1,1,0,0,324,0
黄金概念吧,2022/2/12,0:00-24:00,星期六,0,1,1,0,0,276,0
黄金概念吧,2022/2/18,15:00-9:00,星期五,0,1,1,0,0,271,0
黄金概念吧,2022/2/22,9:00-15:00,星期二,1,3,1,0,2,492,0
黄金概念吧,2022/2/25,9:00-15:00,星期五,1,2,1,0,1,462,0
黄金吧,2022/3/1,15:00-9:00,星期二,0,1,1,0,0,103,0
黄金概念吧,2022/3/1,9:00-15:00,星期二,1,2,1,0,1,350,0
黄金吧,2022/3/3,15:00-9:00,星期四,0,1,1,0,0,58,0
黄金吧,2022/3/4,15:00-24:00,星期五,0,1,1,0,0,55,0
黄金吧,2022/3/8,15:00-9:00,星期二,0,2,1,0,1,284,0
黄金概念吧,2022/3/9,15:00-9:00,星期三,0,1,1,0,0,131,0
黄金吧,2022/3/11,15:00-9:00,星期五,0,1,1,0,0,63,0
黄金概念吧,2022/3/14,9:00-15:00,星期一,1,2,1,0,1,310,0
黄金吧,2022/3/15,15:00-9:00,星期二,0,1,1,0,0,47,0
黄金吧,2022/3/15,9:00-15:00,星期二,1,1,1,0,0,199,0
黄金概念吧,2022/3/24,9:00-15:00,星期四,1,1,1,0,0,124,0
黄金吧,2022/3/30,9:00-15:00,星期三,1,1,1,0,0,240,0
黄金概念吧,2022/4/1,15:00-9:00,星期五,0,1,1,0,0,263,0
黄金吧,2022/4/2,0:00-24:00,星期六,0,1,1,0,0,296,0
黄金概念吧,2022/4/6,9:00-15:00,星期三,1,1,1,0,0,153,0
黄金吧,2022/4/6,9:00-15:00,星期三,1,2,1,0,1,794,0
黄金吧,2022/4/11,9:00-15:00,星期一,1,2,1,0,1,605,0
黄金吧,2022/4/13,9:00-15:00,星期三,1,2,1,0,1,441,0
黄金概念吧,2022/4/14,15:00-9:00,星期四,0,1,1,0,0,68,0
黄金吧,2022/4/14,9:00-15:00,星期四,1,2,1,0,1,801,0
黄金概念吧,2022/4/15,9:00-15:00,星期五,1,1,1,0,0,309,0
黄金吧,2022/4/19,15:00-9:00,星期二,0,1,1,0,0,43,0
黄金吧,2022/4/21,9:00-15:00,星期四,1,1,1,0,0,55,0
黄金吧,2022/5/6,9:00-15:00,星期五,1,7,1,0,6,417,0
黄金吧,2022/5/9,9:00-15:00,星期一,1,4,1,0,3,443,0
黄金概念吧,2022/5/13,9:00-15:00,星期五,1,1,1,0,0,242,0
黄金吧,2022/6/5,0:00-24:00,星期日,0,1,1,0,0,129,0
黄金吧,2022/6/8,15:00-9:00,星期三,0,3,1,0,2,147,0
黄金概念吧,2022/6/10,15:00-9:00,星期五,0,1,1,0,0,168,0
黄金概念吧,2022/6/14,9:00-15:00,星期二,1,1,1,0,0,74,0
黄金吧,2022/6/16,15:00-9:00,星期四,0,5,1,0,4,331,0
黄金概念吧,2022/6/16,9:00-15:00,星期四,1,1,1,0,0,123,0
黄金吧,2022/6/17,15:00-24:00,星期五,0,3,1,0,2,135,0
黄金吧,2022/6/21,9:00-15:00,星期二,1,2,1,0,1,104,0
黄金吧,2022/6/23,9:00-15:00,星期四,1,1,1,0,0,70,1
黄金吧,2022/7/2,0:00-24:00,星期六,0,1,1,0,0,44,0
黄金吧,2022/7/12,9:00-15:00,星期二,1,1,1,0,0,63,0
黄金概念吧,2022/7/15,15:00-9:00,星期五,0,1,1,0,0,36,0
黄金吧,2022/7/18,9:00-15:00,星期一,1,1,1,0,0,36,0
黄金吧,2022/7/19,15:00-9:00,星期二,0,1,1,0,0,69,0
黄金吧,2022/7/20,15:00-9:00,星期三,0,1,1,0,0,55,2
黄金吧,2022/7/23,0:00-24:00,星期六,0,1,1,0,0,35,0
黄金吧,2022/7/24,0:00-24:00,星期日,0,2,1,0,1,122,0
黄金吧,2022/7/25,0:00-9:00,星期一,0,1,1,0,0,57,0
黄金吧,2022/7/27,15:00-9:00,星期三,0,2,1,0,1,127,0
黄金概念吧,2022/7/27,9:00-15:00,星期三,1,1,1,0,0,121,0
黄金吧,2022/7/28,15:00-9:00,星期四,0,2,1,0,1,84,1
黄金吧,2022/7/28,9:00-15:00,星期四,1,2,1,0,1,187,2
黄金吧,2022/7/29,15:00-9:00,星期五,0,1,1,0,0,51,0
黄金吧,2022/7/30,0:00-24:00,星期六,0,1,1,0,0,36,0
黄金吧,2022/7/31,0:00-24:00,星期日,0,1,1,0,0,62,0
黄金概念吧,2022/8/2,9:00-15:00,星期二,1,1,1,0,0,54,0
黄金吧,2022/8/10,9:00-15:00,星期三,1,1,1,0,0,27,0
黄金吧,2022/8/12,15:00-9:00,星期五,0,1,1,0,0,23,0
黄金吧,2022/8/18,15:00-9:00,星期四,0,1,1,0,0,28,0
黄金吧,2022/8/25,15:00-9:00,星期四,0,1,1,0,0,43,0
黄金吧,2022/8/26,15:00-9:00,星期五,0,1,1,0,0,87,0
黄金吧,2022/9/8,9:00-15:00,星期四,1,2,1,0,1,565,0
黄金吧,2022/9/14,9:00-15:00,星期三,1,1,1,0,0,137,0
黄金概念吧,2022/9/21,9:00-15:00,星期三,1,2,1,0,1,485,2
黄金吧,2022/9/21,9:00-15:00,星期三,1,3,1,0,2,540,0
黄金吧,2022/9/29,9:00-15:00,星期四,1,1,1,0,0,168,0
黄金吧,2022/9/30,15:00-24:00,星期五,0,1,1,0,0,131,0
黄金吧,2022/10/26,9:00-15:00,星期三,1,1,1,0,0,58,0
黄金吧,2022/10/28,9:00-15:00,星期五,1,2,1,0,1,409,2
黄金概念吧,2022/11/7,9:00-15:00,星期一,1,1,1,0,0,240,0
黄金概念吧,2022/11/10,15:00-9:00,星期四,0,2,1,0,1,282,0
黄金概念吧,2022/11/11,15:00-9:00,星期五,0,1,1,0,0,152,0
黄金概念吧,2022/11/18,9:00-15:00,星期五,1,2,1,0,1,698,0
黄金吧,2022/11/27,0:00-24:00,星期日,0,1,1,0,0,115,0
黄金吧,2022/11/28,0:00-9:00,星期一,0,1,1,0,0,115,0
黄金概念吧,2022/12/16,15:00-24:00,星期五,0,1,1,0,0,70,0
黄金概念吧,2022/1/26,15:00-9:00,星期三,0,4,2,0,2,1611,0
黄金概念吧,2022/3/10,9:00-15:00,星期四,1,2,2,0,0,245,0
黄金概念吧,2022/5/9,9:00-15:00,星期一,1,2,2,0,0,262,0
黄金吧,2022/5/30,9:00-15:00,星期一,1,4,2,1,1,161,0
黄金吧,2022/6/3,9:00-15:00,星期五,1,4,2,0,2,310,0
黄金吧,2022/8/5,15:00-9:00,星期五,0,2,2,0,0,89,0
黄金吧,2022/10/10,9:00-15:00,星期一,1,3,2,0,1,283,0
黄金吧,2022/10/24,9:00-15:00,星期一,1,2,2,0,0,278,1
黄金概念吧,2022/2/17,9:00-15:00,星期四,1,3,3,0,0,738,0
黄金概念吧,2022/4/8,9:00-15:00,星期五,1,3,3,0,0,674,0
黄金吧,2022/4/17,0:00-24:00,星期日,0,3,3,0,0,700,0
黄金吧,2022/4/18,9:00-15:00,星期一,1,3,3,0,0,515,0
黄金概念吧,2022/4/25,9:00-15:00,星期一,1,3,3,0,0,398,0
黄金吧,2022/6/17,15:00-9:00,星期五,0,6,4,0,2,425,0
黄金概念吧,2022/2/24,9:00-15:00,星期四,1,17,9,2,6,2388,7
